y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,track z=6,track z=6,track z=6 [START],track z=6,track z=6,track z=6,track z=6,track z=6,RAMP_E z=6,RAMP_E z=5.5,RAMP_E z=5,RAMP_E z=4.5,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,RAMP_E z=6,RAMP_E z=5.5,RAMP_E z=5,RAMP_E z=4.5,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,RAMP_E z=6,RAMP_E z=5.5,RAMP_E z=5,RAMP_E z=4.5,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,RAMP_E z=6,RAMP_E z=5.5,RAMP_E z=5,RAMP_E z=4.5,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,track z=4,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,,,,,,,,,track z=4,track z=4,track z=4,track z=4,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,,,,,,,,,track z=4,track z=4,track z=4,track z=4,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,track z=4,track z=4,track z=4,track z=4,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,track z=4,track z=4,track z=4,track z=4,,,,,,,,,,,,,,,,,,,,,,,,,,,
