y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,track z=6,track z=6,track z=6,track z=6,track z=6,,,,,,,,,,,,,track z=6,track z=6,track z=6,track z=6,track z=6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,ice z=6,ice z=6,ice z=6,ice z=6,track z=6,track z=6,track z=6,ice z=6,ice z=6,ice z=6,track z=6,track z=6,track z=6,track z=6,track z=6,track z=6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,track z=6,track z=6,track z=6 [START],track z=6,track z=6,ice z=6,ice z=6,ice z=6,ice z=6,ice z=6,ice z=6,ice z=6,ice z=6,track z=6,ice z=6,ice z=6,ice z=6,track z=6,track z=6,track z=6,track z=6,track z=6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,track z=6,track z=6,track z=6,track z=6,ice z=6,ice z=6,ice z=6,track z=6,track z=6,track z=6,ice z=6,ice z=6,ice z=6,ice z=6,ice z=6,track z=6,ice z=6,ice z=6,ice z=6,track z=6,track z=6,track z=6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,track z=6,track z=6,track z=6,ice z=6,ice z=6,,,,,,,,,,,,,ice z=6,ice z=6,track z=6,track z=6,track z=6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,ice z=6,track z=6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,ice z=6,track z=6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,ice z=6,track z=6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,ice z=6,ice z=6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,ice z=6,ice z=6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,ice z=6,ice z=6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,track z=6,ice z=6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
